"","Step.2..Compositional.Invariance.Composite","Step.2..Compositional.Invariance.c.value","Step.2..Compositional.Invariance.95th.percentile","Step.2..Compositional.Invariance.Compositional.invariance.","Step.3.1..Equality.of.Mean.Values.Composite","Step.3.1..Equality.of.Mean.Values.Difference.of.the.composite.s.mean.value","Step.3.1..Equality.of.Mean.Values.2.5.","Step.3.1..Equality.of.Mean.Values.97.5.","Step.3.1..Equality.of.Mean.Values.Equal.mean.values.","Step.3.2..Equality.of.Variances.Composite","Step.3.2..Equality.of.Variances.Logarithm.of.the.composite.s.variances.ratio","Step.3.2..Equality.of.Variances.2.5.","Step.3.2..Equality.of.Variances.97.5.","Step.3.2..Equality.of.Variances.Equal.variances."
"1","PE","0.996734","0.993523","Yes","PE","-1.114499","-0.712794","0.434285","No","PE","1.408832","-0.078546","0.096425","No"
"2","EE","0.995497","0.980464","Yes","EE","-0.41756","-0.13478","0.331004","No","EE","0.475869","-0.045251","0.202883","No"
"3","SI","0.999967","0.995188","Yes","SI","-0.860962","-0.112274","0.417111","No","SI","-0.112511","-0.094873","0.065031","No"
"4","FC","0.307897","0.962144","No","FC","-0.624941","-0.391105","0.076446","No","FC","0.53671","-0.078803","0.04623","No"
"5","HM","0.999158","0.977628","Yes","HM","-1.003824","-0.244051","0.192681","No","HM","1.11084","-0.230572","0.059879","No"
"6","PV","0.999542","0.985931","Yes","PV","-0.528496","-0.737474","0.21934","Yes","PV","0.310023","-0.206679","0.067484","No"
"7","HAB","0.949248","0.965215","No","HAB","-1.062988","-0.147282","0.517274","No","HAB","0.390878","-0.076436","0.103489","No"
"8","Exp","1","0.768928","Yes","Exp","0.130115","-0.200541","1.852617","Yes","Exp","-0.029256","-0.114952","0.024161","Yes"
"9","Age","1","0.991198","Yes","Age","-0.182769","-0.173811","0.430057","No","Age","-0.13378","-0.018708","0.124106","No"
"10","Gender","1","0.801434","Yes","Gender","-0.134555","-0.146134","2.640969","Yes","Gender","-0.036126","-0.188779","0.400469","Yes"
"11","BI","0.999964","0.987924","Yes","BI","-1.714329","-0.26568","0.214323","No","BI","0.814182","-0.057895","0.134712","No"
